date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:28	116043/116043	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-1c54b%22	https://freshcart.codescandy.com/index.html	freshcart.codescandy.com/index.html	(from )
18:49:30	50/50	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Fri,%2027%20Oct%202023%2013:19:29%20GMT	https://freshcart.codescandy.com/robots.txt		(from )
18:49:31	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%226474a82c-6f0%22	https://freshcart.codescandy.com/assets/libs/slick-carousel/slick/slick.css	freshcart.codescandy.com/assets/libs/slick-carousel/slick/slick.css	(from https://freshcart.codescandy.com/index.html)
18:49:33	3145/3145	---MCZ	200	added ('OK')	text/css	etag:W/%226474a82c-c49%22	https://freshcart.codescandy.com/assets/libs/slick-carousel/slick/slick-theme.css	freshcart.codescandy.com/assets/libs/slick-carousel/slick/slick-theme.css	(from https://freshcart.codescandy.com/index.html)
18:49:34	2178/2178	---MCZ	200	added ('OK')	text/css	etag:W/%226474a82c-882%22	https://freshcart.codescandy.com/assets/libs/tiny-slider/dist/tiny-slider.css	freshcart.codescandy.com/assets/libs/tiny-slider/dist/tiny-slider.css	(from https://freshcart.codescandy.com/index.html)
18:49:34	15406/15406	---M--	200	added ('OK')	image/x-icon	etag:%226474a82a-3c2e%22	https://freshcart.codescandy.com/assets/images/favicon/favicon.ico	freshcart.codescandy.com/assets/images/favicon/favicon.ico	(from https://freshcart.codescandy.com/index.html)
18:49:36	81936/81936	---MCZ	200	added ('OK')	text/css	etag:W/%226474a82c-14010%22	https://freshcart.codescandy.com/assets/libs/bootstrap-icons/font/bootstrap-icons.min.css	freshcart.codescandy.com/assets/libs/bootstrap-icons/font/bootstrap-icons.min.css	(from https://freshcart.codescandy.com/index.html)
18:49:37	13695/13695	---MCZ	200	added ('OK')	text/css	etag:W/%226474a82c-357f%22	https://freshcart.codescandy.com/assets/libs/feather-webfont/dist/feather-icons.css	freshcart.codescandy.com/assets/libs/feather-webfont/dist/feather-icons.css	(from https://freshcart.codescandy.com/index.html)
18:49:38	3269/3269	---MCZ	200	added ('OK')	text/css	etag:W/%226474a82d-cc5%22	https://freshcart.codescandy.com/assets/libs/simplebar/dist/simplebar.min.css	freshcart.codescandy.com/assets/libs/simplebar/dist/simplebar.min.css	(from https://freshcart.codescandy.com/index.html)
18:49:39	475138/475138	---MCZ	200	added ('OK')	text/css	etag:W/%226474a82a-74002%22	https://freshcart.codescandy.com/assets/css/theme.min.css	freshcart.codescandy.com/assets/css/theme.min.css	(from https://freshcart.codescandy.com/index.html)
18:49:40	10386/10386	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226474a82a-2892%22	https://freshcart.codescandy.com/assets/images/logo/freshcart-logo.svg	freshcart.codescandy.com/assets/images/logo/freshcart-logo.svg	(from https://freshcart.codescandy.com/index.html)
18:49:41	70139/70139	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-111fb%22	https://freshcart.codescandy.com/pages/shop-wishlist.html	freshcart.codescandy.com/pages/shop-wishlist.html	(from https://freshcart.codescandy.com/index.html)
18:49:42	126067/126067	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-1ec73%22	https://freshcart.codescandy.com/pages/shop-grid.html	freshcart.codescandy.com/pages/shop-grid.html	(from https://freshcart.codescandy.com/index.html)
18:49:43	165254/165254	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-28586%22	https://freshcart.codescandy.com/pages/index-2.html	freshcart.codescandy.com/pages/index-2.html	(from https://freshcart.codescandy.com/index.html)
18:49:44	240529/240529	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-3ab91%22	https://freshcart.codescandy.com/pages/index-3.html	freshcart.codescandy.com/pages/index-3.html	(from https://freshcart.codescandy.com/index.html)
18:49:45	264333/264333	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-4088d%22	https://freshcart.codescandy.com/pages/index-4.html	freshcart.codescandy.com/pages/index-4.html	(from https://freshcart.codescandy.com/index.html)
18:49:46	202773/202773	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-31815%22	https://freshcart.codescandy.com/pages/index-5.html	freshcart.codescandy.com/pages/index-5.html	(from https://freshcart.codescandy.com/index.html)
18:49:47	125740/125740	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-1eb2c%22	https://freshcart.codescandy.com/pages/shop-grid-3-column.html	freshcart.codescandy.com/pages/shop-grid-3-column.html	(from https://freshcart.codescandy.com/index.html)
18:49:48	114256/114256	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-1be50%22	https://freshcart.codescandy.com/pages/shop-list.html	freshcart.codescandy.com/pages/shop-list.html	(from https://freshcart.codescandy.com/index.html)
18:49:49	112987/112987	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-1b95b%22	https://freshcart.codescandy.com/pages/shop-filter.html	freshcart.codescandy.com/pages/shop-filter.html	(from https://freshcart.codescandy.com/index.html)
18:49:50	102433/102433	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-19021%22	https://freshcart.codescandy.com/pages/shop-fullwidth.html	freshcart.codescandy.com/pages/shop-fullwidth.html	(from https://freshcart.codescandy.com/index.html)
18:49:51	115275/115275	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-1c24b%22	https://freshcart.codescandy.com/pages/shop-single.html	freshcart.codescandy.com/pages/shop-single.html	(from https://freshcart.codescandy.com/index.html)
18:49:52	115408/115408	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-1c2d0%22	https://freshcart.codescandy.com/pages/shop-single-2.html	freshcart.codescandy.com/pages/shop-single-2.html	(from https://freshcart.codescandy.com/index.html)
18:49:53	77757/77757	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-12fbd%22	https://freshcart.codescandy.com/pages/shop-cart.html	freshcart.codescandy.com/pages/shop-cart.html	(from https://freshcart.codescandy.com/index.html)
18:49:54	134456/134456	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-20d38%22	https://freshcart.codescandy.com/pages/shop-checkout.html	freshcart.codescandy.com/pages/shop-checkout.html	(from https://freshcart.codescandy.com/index.html)
18:49:55	83458/83458	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-14602%22	https://freshcart.codescandy.com/pages/store-list.html	freshcart.codescandy.com/pages/store-list.html	(from https://freshcart.codescandy.com/index.html)
18:49:56	74072/74072	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-12158%22	https://freshcart.codescandy.com/pages/store-grid.html	freshcart.codescandy.com/pages/store-grid.html	(from https://freshcart.codescandy.com/index.html)
18:49:57	124269/124269	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-1e56d%22	https://freshcart.codescandy.com/pages/store-single.html	freshcart.codescandy.com/pages/store-single.html	(from https://freshcart.codescandy.com/index.html)
18:49:58	101824/101824	---M--	200	added ('OK')	image/jpeg	etag:%226474a82a-18dc0%22	https://freshcart.codescandy.com/assets/images/banner/menu-banner.jpg	freshcart.codescandy.com/assets/images/banner/menu-banner.jpg	(from https://freshcart.codescandy.com/index.html)
18:49:59	71545/71545	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-11779%22	https://freshcart.codescandy.com/pages/blog.html	freshcart.codescandy.com/pages/blog.html	(from https://freshcart.codescandy.com/index.html)
18:50:00	70930/70930	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-11512%22	https://freshcart.codescandy.com/pages/blog-single.html	freshcart.codescandy.com/pages/blog-single.html	(from https://freshcart.codescandy.com/index.html)
18:50:01	71290/71290	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-1167a%22	https://freshcart.codescandy.com/pages/blog-category.html	freshcart.codescandy.com/pages/blog-category.html	(from https://freshcart.codescandy.com/index.html)
18:50:02	69802/69802	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-110aa%22	https://freshcart.codescandy.com/pages/about.html	freshcart.codescandy.com/pages/about.html	(from https://freshcart.codescandy.com/index.html)
18:50:03	2836/2836	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-b14%22	https://freshcart.codescandy.com/pages/404error.html	freshcart.codescandy.com/pages/404error.html	(from https://freshcart.codescandy.com/index.html)
18:50:04	63313/63313	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-f751%22	https://freshcart.codescandy.com/pages/contact.html	freshcart.codescandy.com/pages/contact.html	(from https://freshcart.codescandy.com/index.html)
18:50:05	14856/14856	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-3a08%22	https://freshcart.codescandy.com/pages/signin.html	freshcart.codescandy.com/pages/signin.html	(from https://freshcart.codescandy.com/index.html)
18:50:06	14829/14829	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-39ed%22	https://freshcart.codescandy.com/pages/signup.html	freshcart.codescandy.com/pages/signup.html	(from https://freshcart.codescandy.com/index.html)
18:50:07	14127/14127	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-372f%22	https://freshcart.codescandy.com/pages/forgot-password.html	freshcart.codescandy.com/pages/forgot-password.html	(from https://freshcart.codescandy.com/index.html)
18:50:08	75164/75164	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-1259c%22	https://freshcart.codescandy.com/pages/account-orders.html	freshcart.codescandy.com/pages/account-orders.html	(from https://freshcart.codescandy.com/index.html)
18:50:09	67920/67920	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-10950%22	https://freshcart.codescandy.com/pages/account-settings.html	freshcart.codescandy.com/pages/account-settings.html	(from https://freshcart.codescandy.com/index.html)
18:50:10	72664/72664	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-11bd8%22	https://freshcart.codescandy.com/pages/account-address.html	freshcart.codescandy.com/pages/account-address.html	(from https://freshcart.codescandy.com/index.html)
18:50:11	75044/75044	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-12524%22	https://freshcart.codescandy.com/pages/account-payment-method.html	freshcart.codescandy.com/pages/account-payment-method.html	(from https://freshcart.codescandy.com/index.html)
18:50:12	70314/70314	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-112aa%22	https://freshcart.codescandy.com/pages/account-notification.html	freshcart.codescandy.com/pages/account-notification.html	(from https://freshcart.codescandy.com/index.html)
18:50:13	71401/71401	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-116e9%22	https://freshcart.codescandy.com/dashboard/index.html	freshcart.codescandy.com/dashboard/index.html	(from https://freshcart.codescandy.com/index.html)
18:50:14	18427/18427	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-47fb%22	https://freshcart.codescandy.com/docs/index.html	freshcart.codescandy.com/docs/index.html	(from https://freshcart.codescandy.com/index.html)
18:50:15	18791/18791	---MCZ	200	added ('OK')	text/html	etag:W/%226474a82d-4967%22	https://freshcart.codescandy.com/docs/changelog.html	freshcart.codescandy.com/docs/changelog.html	(from https://freshcart.codescandy.com/index.html)
18:50:15	35515/35515	---M--	200	added ('OK')	image/jpeg	etag:%226474a82b-8abb%22	https://freshcart.codescandy.com/assets/images/products/product-img-1.jpg	freshcart.codescandy.com/assets/images/products/product-img-1.jpg	(from https://freshcart.codescandy.com/index.html)
